date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr
05/03/2023,Mayhem Mini-Pump – Upper Body Anterior (Open & QuarterFinals),4 Rounds10 Alt. DB Tempo Incline Bench + Double DB Incline Bench @ Moderate weight – maintain control and quality RPE 7-rest 30-60 seconds-10 DB Preacher Curl @ moderate weight – maintain quality RPE 7-rest 30-60 seconds-12 Resistance Band Chest Fly – High to Low @ moderate weight – maintain quality RPE 7-Rest 3 min b/t rounds-,0,done ,Other / Text,,"[{""other"":""done ""}]",,RX,
05/03/2023,Bench Press 6-6-6-4-2,"6 Bench Press @ 6/10 RPE6 Bench Press @ 7/10 RPE6 Bench Press @ 8/10 RPE4 Bench Press @ 9/10 RPE2 Bench Press @ 9.5/10 RPE*After the last set, perform 40 Hand Release Deficit Push Ups (these are the last week of these)",195,195,Load,Bench Press,"[{""success"":true,""load"":95},{""success"":true,""load"":145},{""success"":true,""load"":165},{""success"":true,""load"":185},{""success"":true,""load"":195}]",,RX,
05/08/2023,Deadlift 5-3-1-1-1-1-1,5 Deadlifts @ 6/10 RPE3 Deadlifts @ 7/10 RPE1 Deadlifts @ 7.5/10 RPE1 Deadlifts @ 8/10 RPE1 Deadlifts @ 8.5/10 RPE1 Deadlifts @ 9/10 RPE1 Deadlifts @ 10/10 RPE,245,245,Load,Deadlift,"[{""success"":true,""load"":135},{""success"":true,""load"":185},{""success"":true,""load"":205},{""success"":true,""load"":225},{""success"":true,""load"":245},{""success"":true,""load"":245},{""success"":true,""load"":245}]",,RX,
05/08/2023,Front Squat 5-3-1-1-1-1-1,5 Front Squat @ 6/10 RPE3 Front Squat @ 7/10 RPE1 Front Squat @ 7.5/10 RPE1 Front Squat @ 8/10 RPE1 Front Squat @ 8.5/10 RPE1 Front Squat @ 9/10 RPE1 Front Squat @ 10/10 RPE,205,205,Load,Front Squat,"[{""success"":true,""load"":95},{""success"":true,""load"":125},{""success"":true,""load"":155},{""success"":true,""load"":185},{""success"":true,""load"":185},{""success"":true,""load"":205},{""success"":true,""load"":205}]",,RX,
05/08/2023,Strict Barbell Press 5-3-1-1-1-1-1,5 Strict Barbell Press @ 6/10 RPE3 Strict Barbell Press @ 7/10 RPE1 Strict Barbell Press @ 7.5/10 RPE1 Strict Barbell Press @ 8/10 RPE1 Strict Barbell Press @ 8.5/10 RPE1 Strict Barbell Press @ 9/10 RPE1 Strict Barbell Press @ 10/10 RPE,165,165,Load,Shoulder Press,"[{""success"":true,""load"":95},{""success"":true,""load"":125},{""success"":true,""load"":135},{""success"":true,""load"":145},{""success"":true,""load"":155},{""success"":true,""load"":165},{""success"":true,""load"":165}]",,RX,
05/08/2023,"The Amazon Rainforest (Open, Quarterfinals & SemiFinals)","Murph Prep Monday*Repeat From May 2, 2022Masters 35-44Murph Prep Monday:AMRAP 7 Minutes200m Run10 Strict Pull-Ups-Rest 3 Minutes-AMRAP 7 Minutes200m Run15 Push-Ups-Rest 3 Minutes-AMRAP 7 Minutes200m Run25 Air Squats*All with 20lb/14lb Vest.Masters 45-54Complete as written aboveMasters 55-64Complete as written aboveMasters 65+Complete as written above",3,3,Rounds + Reps,,"[{""rnds"":3},{""rnds"":3},{""rnds"":2,""reps"":20}]",,RX,
05/09/2023,"Jaguar (Open, Quartefinals & SemiFinals)","Masters 35-44For time:Carry (100/70) 1 Mile* Our Recommendation = Sandbag (100/70), carrying the sandbag however you’d like. You may also complete as Dumbbell Farmers Carry 2x50/35 if needed**Perform 10/8 Calorie (Or 30 Double Unders) on a machine everytime you set the objects downMasters 45-54For time:Carry (70/50) 1 Mile* Our Recommendation = Sandbag (70/50), carrying the sandbag however you’d like. You may also complete as Dumbbell Farmers Carry 2x35/20 if needed**Perform 10/8 Calorie (Or 30 Double Unders) on a machine everytime you set the objects downMasters 55-64For time:Carry (50/35) 1 Mile* Our Recommendation = Sandbag (50/35), carrying the sandbag however you’d like. You may also complete as Dumbbell Farmers Carry 2x25/18 if needed**Perform 10/8 Calorie (Or 30 Double Unders) on a machine everytime you set the objects downMasters 65+For time:Carry (50/35) 1 Mile* Our Recommendation = Sandbag (50/35), carrying the sandbag however you’d like. You may also complete as Dumbbell Farmers Carry 2x25/18 if needed**Perform 10/8 Calorie (Or 30 Double Unders) on a machine everytime you set the objects down",1135,18:55,,,"[{""secs"":55,""mins"":18}]",1000 mts2x25 lbs DB50 cal air bike,SCALED,
05/09/2023,Pause Snatch 3-2-1-3-2-1-1-1,3 Pause Snatch @ 73% 1 RM Snatch2 Pause Snatch @ 75% 1 RM Snatch 1 Pause Snatch @ 78% 1 RM Snatch3 Pause Snatch @ 75% 1 RM Snatch2 Pause Snatch @ 78% 1 RM Snatch1 Pause Snatch @ 80% 1 RM Snatch1 Pause Snatch @ 80% 1 RM Snatch 1 Pause Snatch @ 80% 1 RM Snatch*Pause for 2 seconds in the receive position before standing.,80,80,Load,Pause Snatch,"[{""success"":true,""load"":65},{""success"":true,""load"":70},{""success"":true,""load"":75},{""success"":true,""load"":65},{""success"":true,""load"":70},{""success"":true,""load"":75},{""success"":true,""load"":80},{""success"":true,""load"":80}]",,RX,
05/10/2023,"Sloth (Open, Quarterfinals & SemiFinals)","Masters 35-44For time:75 Hang Squat Cleans (75/55)*every time you break, perform:5 Box Jumps (30/24)10 Strict Ring DipsMasters 45-54For time:75 Hang Squat Cleans (75/55)*every time you break, perform:4 Box Jumps (30/24)8 Strict Ring DipsMasters 55-64For time:75 Hang Squat Cleans (55/40)*every time you break, perform:4 Box Jumps (24/20)8 Strict Ring DipsMasters 65+For time:55 Hang Squat Cleans (55/40)*every time you break, perform:3 Box Jumps (24/20)6 Strict Ring Dips",756,12:36,,,"[{""secs"":36,""mins"":12}]",85 lbs 24” boxStrict RMU,SCALED,
05/10/2023,Echo Bike: 200/160 Cal Progression Week 5 Workout 1,5 Sets 10 Cals at RPE6-Rest 10 Sec-10 Cals at RPE6-7 5 Cals at RPE1-215 Cals at RPE85 Cals at RPE1-215 Cals at RPE8-9*Rest 90 Sec between sets.,1085,18:05,,,"[{""secs"":5,""mins"":18}]",4 sets No rest between sets. ,SCALED,
05/13/2023,Back Squat 5-3-1-1-1-1-1,5 Back  Squat @ 6/10 RPE3 Back Squat @ 7/10 RPE1 Back Squat @ 7.5/10 RPE1 Back Squat @ 8/10 RPE1 Back Squat @ 8.5/10 RPE1 Back Squat @ 9/10 RPE1 Back Squat @ 10/10 RPE,225,225,Load,Back Squat,"[{""success"":true,""load"":135},{""success"":true,""load"":155},{""success"":true,""load"":170},{""success"":true,""load"":180},{""success"":true,""load"":192.5},{""success"":true,""load"":215},{""success"":true,""load"":225}]",,RX,
05/13/2023,Mayhem Mini-Pump –Upper Body Posterior,3-4 Rounds10 Strict Pull Ups @RPE 7 (add weight if possible)-rest 60 seconds-10 Double DB Standing Bent Over Row @ moderate weight – maintain quality RPE 7-rest 60 seconds-15 Standing KB Crush Grip French Press @ moderate weight – maintain quality RPE 7-rest 60 seconds-10 Lat Pulldowns – Neutral Close Grip @RPE 7-Rest 2 min b/t rounds-,0,Done,Other / Text,,"[{""other"":""Done""}]",,RX,
05/13/2023,"Toucan (Open, Quarterfinals & Games)",Masters 35-442 Sets:30/24 Calorie Row10 Dumbbell Snatches (70/50)30/24 Calorie Ski Erg15 Strict Handstand Push ups30/24 Calorie Bike Erg20 Burpee Box Get Overs (48/40)-rest until 15:00-Masters 45-542 Sets:25/20 Calorie Row10 Dumbbell Snatches (70/50)25/20 Calorie Ski Erg12 Strict Handstand Push ups25/20 Calorie Bike Erg15 Burpee Box Get Overs (48/40)-rest until 15:00-Masters 55-642 Sets:25/20 Calorie Row10 Dumbbell Snatches (50/35)25/20 Calorie Ski Erg12 Strict Handstand Push ups25/20 Calorie Bike Erg15 Burpee Box Get Overs (40/32)-rest until 15:00-Masters 65+2 Sets:20/16 Calorie Row8 Dumbbell Snatches (50/35)20/16 Calorie Ski Erg10 Strict Handstand Push ups20/16 Calorie Bike Erg12 Burpee Box Get Overs (40/32)-rest until 15:00-,1220,20:20,,,"[{""secs"":40,""mins"":9},{""secs"":40,""mins"":10}]",,RX,
05/15/2023,Seated Strict Shoulder Press 5x5,5x5 Seated Barbell Strict Press @ 6/10 RPE,105,105,Load,Seated Strict Shoulder Press,"[{""success"":true,""load"":85},{""success"":true,""load"":85},{""success"":true,""load"":105},{""success"":true,""load"":105},{""success"":true,""load"":105}]",,RX,
05/15/2023,Sumo Deadlift 5x10,5 Sumo Deadlifts + 5 Deadlifts @ 7/10 RPE5 Sumo Deadlifts + 5 Deadlifts @ 7/10 RPE5 Sumo Deadlifts + 5 Deadlifts @ 7/10 RPE5 Sumo Deadlifts + 5 Deadlifts @ 7/10 RPE5 Sumo Deadlifts + 5 Deadlifts @ 7/10 RPE*5 Max Vertical Jump after each set.,100,100,Load,Sumo Deadlift,"[{""success"":true,""load"":50},{""success"":true,""load"":60},{""success"":true,""load"":70},{""success"":true,""load"":100},{""success"":true,""load"":100}]",DB,SCALED,
05/15/2023,Back to the Future (45-54),For time:10 Pull Ups20 Push Ups30 Air Squats15 Pull Ups30 Push Ups45 Air Squats20 Pull Ups40 Push Ups60 Air Squats25 Pull Ups50 Push Ups75 Air Squats30 Pull Ups60 Push Ups90 Air Squats,900,15:00,,,"[{""secs"":0,""mins"":15}]",280 reps15” scaled on TC,SCALED,
05/15/2023,DEEP In The Hole Front Squat 5x5,5 DEEP In the Hole Front Squat  @ 5/10 RPE5 DEEP In the Hole Front Squat  @ 5.5/10 RPE5 DEEP In the Hole Front Squat  @ 6/10 RPE5 DEEP In the Hole Front Squat  @ 6.5/10 RPE5 DEEP In the Hole Front Squat  @ 6.5/10 RPE,125,125,Load,In The Hole Front Squat,"[{""success"":true,""load"":45},{""success"":true,""load"":65},{""success"":true,""load"":85},{""success"":true,""load"":105},{""success"":true,""load"":125}]",,RX,
05/16/2023,Movement Prep,3 Sets 10 Kettlebell Goblet Hold Cossack Squat (5 each leg)10 Seated Barbell Good Mornings 20 Landmine Twists,1,Yes,Checkbox,,"[{""boolean"":1}]",,RX,
05/16/2023,Accessory Work,3 Sets10 Plank Pike Ups on Rower100ft Double Kettlebell Overhead Waiter Walks,1,Yes,Checkbox,,"[{""boolean"":1}]",,RX,
05/16/2023,Snatch Pull + Snatch 5x4,1 Snatch Pull + 1 Snatch + 1 Snatch Pull + 1 Snatch @ 5/10 RPE1 Snatch Pull + 1 Snatch + 1 Snatch Pull + 1 Snatch @ 5.5/10 RPE1 Snatch Pull + 1 Snatch + 1 Snatch Pull + 1 Snatch @ 6/10 RPE1 Snatch Pull + 1 Snatch + 1 Snatch Pull + 1 Snatch @ 6.5/10 RPE1 Snatch Pull + 1 Snatch + 1 Snatch Pull + 1 Snatch @ 6.5/10 RPE,95,95,Load,Snatch Pull + Snatch,"[{""success"":true,""load"":45},{""success"":true,""load"":65},{""success"":true,""load"":75},{""success"":true,""load"":85},{""success"":true,""load"":95}]",,RX,
05/16/2023,Marty McFly & Doc (45-54),"6 setsOdd Sets (1,3,5)AMRAP 1 minute 30 seconds250/200m RowMax Reps Dumbbell Box Step Overs (2x40/25) (24/20)-Rest 30 seconds after each set-Even Sets (2,4,6)AMRAP 1 minute 30 seconds500/400m Bike ErgMax Reps Devils Press (2x40/25)-Rest 30 seconds after each set-* Sub 200m Run, 15/12 cal Assault Bike, or 12/10 cal Echo Bike if you do not have access to a Bike Erg.",22,22,Reps,,"[{""reps"":4},{""reps"":3},{""reps"":6},{""reps"":3},{""reps"":4},{""reps"":2}]",,RX,
05/22/2023,Hawaii (45-54),Murph Prep Monday4 rounds:10 Kipping Pull Ups200m Run10 Pushups200m Run*Wear a weighted vest (20/14),995,16:35,,,"[{""secs"":35,""mins"":16}]",Without Vest ,SCALED,
05/29/2023,Behind the Neck Barbell Strict Press 5x5,5 Behind the Neck Barbell Strict Press @ 6/10 RPE5 Behind the Neck Barbell Strict Press @ 6/10 RPE5 Behind the Neck Barbell Strict Press @ 7/10 RPE5 Behind the Neck Barbell Strict Press @ 7/10 RPE5 Behind the Neck Barbell Strict Press @ 7/10 RPE*7 Seated Double DB Curl and Press after each set.,95,95,Load,Behind the Neck Barbell Strict Press,"[{""success"":true,""load"":65},{""success"":true,""load"":75},{""success"":true,""load"":85},{""success"":true,""load"":95},{""success"":true,""load"":95}]",,RX,
05/29/2023,Sumo Deadlift + Deadlift 5x8,4 Sumo Deadlifts + 4 Deadlifts @ 8/10 RPE4 Sumo Deadlifts + 4 Deadlifts @ 8/10 RPE4 Sumo Deadlifts + 4 Deadlifts @ 8.5/10 RPE4 Sumo Deadlifts + 4 Deadlifts @ 8.5/10 RPE4 Sumo Deadlifts + 4 Deadlifts @ 8.5/10 RPE*3 Max Vertical Jump after each set.,115,115,Load,Sumo Deadlift + Deadlift,"[{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":115}]",,RX,
05/29/2023,DEEP In the Hole Front Squat 3-3-3-3-3,3 In the Hole Front Squat  @ 6/10 RPE3 In the Hole Front Squat  @ 6.5/10 RPE3 In the Hole Front Squat  @ 7.5/10 RPE3 In the Hole Front Squat  @ 8/10 RPE3 In the Hole Front Squat  @ 8/10 RPE,105,105,Load,In The Hole Front Squat,"[{""success"":true,""load"":65},{""success"":true,""load"":75},{""success"":true,""load"":85},{""success"":true,""load"":95},{""success"":true,""load"":105}]",,RX,
05/29/2023,Murph (45-54),"Partition the pull-ups, push-ups, and squats as needed. Start and finish with a mile run. If youve got a twenty pound vest or body armor, wear it.• 1 mile Run• 100 Pull-ups• 200 Push-ups• 300 Squats• 1 mile Run",3739,62:19:00,,,"[{""secs"":19,""mins"":62}]",,RX,
05/31/2023,Shock Method Upper Body Posterior,3-4 Sets:6 DB Bent Over Row - RPE 812 Underhand Barbell Row - RPE 725 Ring Rows - RPE 6-Rest 2:00-3:00 b/t sets-*Log score as weight on DB for Bent Over Row,75,75,Load,,"[{""success"":true,""load"":75}]",,RX,
05/31/2023,6/28/05 (45-54),"For time:30ft -60ft -90ftBack Rack Lunge (115/80)30-20-10Toes to bar**If you dont have space, complete back rack forward lunges in place (10-20-30 steps)",512,08:32,,,"[{""secs"":32,""mins"":8}]",Back rack lounges ,RX,
05/31/2023,Wide Grip Bench Press 5x3,3 Wide Grip Bench Press @ 7/10 RPE3 Wide Grip Bench Press @ 7/10 RPE3 Wide Grip Bench Press @ 8/10 RPE3 Wide Grip Bench Press @ 8/10 RPE3 Wide Grip Bench Press @ 9/10 RPE*10 Lat Pull Downs or Banded Lat Pull Downs after each set.,135,135,Load,Wide Grip Bench Press + DB Single Arm Bench Press,"[{""success"":true,""load"":135},{""success"":true,""load"":135},{""success"":true,""load"":135},{""success"":true,""load"":135},{""success"":true,""load"":135}]",,RX,
06/05/2023,Sumo Deadlift + Deadlift 5x6,3 Sumo Deadlifts + 3 Deadlifts @ 8/10 RPE3 Sumo Deadlifts + 3 Deadlifts @ 8/10 RPE3 Sumo Deadlifts + 3 Deadlifts @ 8.5/10 RPE3 Sumo Deadlifts + 3 Deadlifts @ 9/10 RPE3 Sumo Deadlifts + 3 Deadlifts @ 9.5/10 RPE*3 Max Vertical Jump after each set.,80,80,Load,Sumo Deadlift + Deadlift,"[{""success"":true,""load"":60},{""success"":true,""load"":65},{""success"":true,""load"":70},{""success"":true,""load"":75},{""success"":true,""load"":80}]","1 DB 60,65,70,75,80 lbs. ",SCALED,
06/05/2023,Behind the Neck Barbell Strict Press + Barbell Strict Press 6-6-4-4-2-2,3 Behind the Neck Barbell Strict Press + 3 Strict Press @ 6/10 RPE3 Behind the Neck Barbell Strict Press + 3 Strict Press @ 6.5/10 RPE2 Behind the Neck Barbell Strict Press + 2 Strict Press @ 7/10 RPE2 Behind the Neck Barbell Strict Press + 2 Strict Press @ 8/10 RPE1 Behind the Neck Barbell Strict Press + 1 Strict Press @ 9/10 RPE1 Behind the Neck Barbell Strict Press + 1 Strict Press @ 10/10 RPE,125,125,Load,Behind the Neck Barbell Strict Press + Barbell Strict Press,"[{""success"":true,""load"":95},{""success"":true,""load"":105},{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":125},{""success"":true,""load"":125}]",,RX,
06/05/2023,DEEP In The Hole Front Squat 3-3-2-1-1-1,3 In the Hole Front Squat  @ 6/10 RPE3 In the Hole Front Squat  @ 6.5/10 RPE2 In the Hole Front Squat  @ 7.5/10 RPE1 In the Hole Front Squat  @ 8/10 RPE1 In the Hole Front Squat  @ 9/10 RPE1 In the Hole Front Squat  @ 10/10 RPE,145,145,Load,In The Hole Front Squat,"[{""success"":true,""load"":85},{""success"":true,""load"":105},{""success"":true,""load"":125},{""success"":true,""load"":145},{""success"":true,""load"":145},{""success"":true,""load"":145}]",,RX,
06/05/2023,Sesame Street (45-54),10x100m Sprint-rest as needed b/t sets-,292,04:52,,,"[{""secs"":30,""mins"":0},{""secs"":28,""mins"":0},{""secs"":29,""mins"":0},{""secs"":31,""mins"":0},{""secs"":30,""mins"":0},{""secs"":28,""mins"":0},{""secs"":30,""mins"":0},{""secs"":29,""mins"":0},{""secs"":29,""mins"":0},{""secs"":28,""mins"":0}]",treadmill’s Intervals ,RX,
06/06/2023,Big Bird (45-54),AMRAP 10 Minutes4 L Pull-ups20ft Handstand Walk,11,11,Rounds + Reps,,"[{""rnds"":11,""reps"":0}]",Walk walls ,SCALED,
06/06/2023,Movement Prep,3 Sets 10 Double Kettlebell Front Rack Hold Lateral Box Step Overs (5 each leg)10 Barbell Good Mornings (go heavier than last week)20 Straight Arm Banded Rotational Twists (10 each side),1,Yes,Checkbox,,"[{""boolean"":1}]",,RX,
06/09/2023,Bert & Ernie (45-54),"*Repeat from June 3, 2022Partner Throwdown Friday!2 sets:300m Row (each, at the same time)24 Thrusters (95/65) (split as needed)160 Double Unders (split as needed)24 Thrusters (95/65) (split as needed)300m Row (each, at the same time)-Rest 5 minutes between sets-Individual Version:2 sets:300m Row12 Thrusters (95/65)80 Double Unders12 Thrusters (95/65)300m Row-Rest 5 minutes between sets-",798,13:18,,,"[{""secs"":18,""mins"":6},{""secs"":0,""mins"":7}]",SUx2Individual,RX,
06/09/2023,Movement Prep,3 Sets14 Barbell Back Rack Bulgarian Split Squats (7 each leg)100ft Heavy Single Arm Kettlebell Farmer Carries (50 ft each arm)10 Double Dumbbell Chinese Row,1,Yes,Checkbox,,"[{""boolean"":1}]",,RX,
06/13/2023,Accessory Work,3 Sets15 4in Deficit Hand Release Push Up10 Double Kettlebell Front Rack Hold Sit Ups50 ft Double Kettlebell Overhead Waiter Walk + :60 Handstand Hold,1,Yes,Checkbox,,"[{""boolean"":1}]",,RX,
06/13/2023,Power Snatch 3-2-1-1-1,3 Power Snatch @ 7/10 RPE2 Power Snatch @ 7.5/10 RPE1 Power Snatch @ 8/10 RPE1 Power Snatch @ 9/10 RPE1 Power Snatch @ 10/10 RPE,125,125,Load,Power Snatch,"[{""success"":true,""load"":85},{""success"":true,""load"":95},{""success"":true,""load"":105},{""success"":true,""load"":115},{""success"":true,""load"":125}]",,RX,
06/13/2023,Movement Prep,3 Sets 14 Double Kettlebell Front Rack Hold Lateral Box Step Overs (7 each leg)10 Barbell Good Mornings (go heavier than last week)20 Med Ball Rotational Throw (10 each side),1,Yes,Checkbox,,"[{""boolean"":1}]",,RX,
06/14/2023,Doc (45-54),4 sets (1 Set every 4 minutes)21/16 Calorie Row15 Burpee Over Rower9 Dumbbell Squat Snatches (50/35),780,13:00,,,"[{""secs"":20,""mins"":3},{""secs"":10,""mins"":3},{""secs"":15,""mins"":3},{""secs"":15,""mins"":3}]",,SCALED,
06/19/2023,Papa John’s (45-54),3 rounds400m Run20 Toes to Bar20 V Ups,896,14:56,,,"[{""secs"":56,""mins"":14}]",Assault bike 30 calKTE ,SCALED,
06/19/2023,Back Squat 5x3,3 Back Squat @ 8/10 RPE3 Back Squat @ 8/10 RPE3 Back Squat @ 8/10 RPE3 Back Squat @ 8/10 RPE3 Back Squat @ 8/10 RPE,180,180,Load,Back Squat,"[{""success"":true,""load"":180},{""success"":true,""load"":180},{""success"":true,""load"":180},{""success"":true,""load"":180},{""success"":true,""load"":180}]",,RX,
06/19/2023,Movement Prep,3 Sets6 Alternating Dumbbell Split Snatch Right Arm + 6 Alternating Dumbbell Split Snatch Left Arm + 5 Single Arm Front Rack Dumbbell Squat Right Arm + 5 Single Arm Front Rack Dumbbell Squat Left Arm 5 Close Grip Tempo Heel Elevated Overhead Squats (use PVC Pipe or empty barbell)20 Single Arm DB Plank Pull Throughs (10 each arm),1,Yes,Checkbox,,"[{""boolean"":1}]",,RX,
06/20/2023,Domino’s (45-54),3 rounds8 Burpee Box Jump Overs (30/24)8 Power Snatches (115/80)-at 8:00-2 rounds16 Burpee Box Jump Overs (24/20)16 Power Snatches (75/55),690,11:30,,,"[{""secs"":50,""mins"":5},{""secs"":40,""mins"":5}]",,RX,
06/20/2023,Strict Press 5x3,3 Strict Press @ 6/10 RPE3 Strict Press @ 7/10 RPE3 Strict Press @ 7.5/10 RPE3 Strict Press @ 7.5/10 RPE3 Strict Press @ 7.5/10 RPE,125,125,Load,Shoulder Press,"[{""success"":true,""load"":75},{""success"":true,""load"":95},{""success"":true,""load"":105},{""success"":true,""load"":115},{""success"":true,""load"":125}]",,RX,
06/20/2023,Movement Prep,3 Sets10 Single Leg Kettlebell Deadlift (5 each leg)10 Alternating Kettlebell Gorilla Rows (5 each arm)10 Single Leg Step Downs (5 each leg),1,Yes,Checkbox,,"[{""boolean"":1}]",,RX,
06/21/2023,Cici’s (45-54),AMRAP 20 Minutes25/20 Calorie Row45 Dumbbell Deadlifts (50s/35s)25/20 Calorie Row35 Dumbbell Front Squats (50s/35s)25/20 Calorie Row25 Dumbbell Shoulder to Overhead (50s/35s),1.036,1+36,Rounds + Reps,,"[{""rnds"":1,""reps"":36}]",,SCALED,
06/21/2023,Front Squat 5x3,3 Front Squat @ 7/10 RPE3 Front Squat @ 7/10 RPE3 Front Squat @ 7/10 RPE3 Front Squat @ 7/10 RPE3 Front Squat @ 7/10 RPE,145,145,Load,Front Squat,"[{""success"":true,""load"":145},{""success"":true,""load"":145},{""success"":true,""load"":145},{""success"":true,""load"":145},{""success"":true,""load"":145}]",,RX,
06/23/2023,Mayhem Gymnastics [MG Cycle 10]  Handstand Course/Core Strength Week 3,1 minute of work/1 minue of rest between each Minute 1: V-UpsMinute 2: RestMinute 3 Hollow RocksMinute 4: RestMinute 5: Arch RocksMinute 6: RestMinute 7: Alternating Leg V-UpsMinute 8: RestMinute 9: Plank Hold [Top of Push Up Position],1,Yes,Checkbox,,"[{""boolean"":1}]",,RX,
06/26/2023,Technique Work: Snatch 5x3,"Technique Work: 3 Snatch @ 6/10 RPE Snatch 3 Snatch @ 6.5/10 RPE Snatch 3 Snatch @ 6/10 RPE Snatch 3 Snatch @ 6.5/10 RPE Snatch 3 Snatch @ 6/10 RPE Snatch **Any time you see “technique work”, know that the focus is speed and perfection, NOT loading. This is your time to work on dialing in those consistent issues with your technique.",75,75,Load,Snatch,"[{""success"":true,""load"":75},{""success"":true,""load"":75},{""success"":true,""load"":75},{""success"":true,""load"":75},{""success"":true,""load"":75}]",,RX,
06/26/2023,Tempo Back Squat + Back Squat 5x6,"1 Tempo Back Squat + 5 Back Squat @ 6/10 RPE1 Tempo Back Squat + 5 Back Squat @ 6.5/10 RPE1 Tempo Back Squat + 5 Back Squat @ 7/10 RPE1 Tempo Back Squat + 5 Back Squat @ 7/10 RPE1 Tempo Back Squat + 5 Back Squat @ 7.5/10 RPE*Tempo is 3 seconds down, 2 second hold in bottom.",185,185,Load,Tempo Back Squat + Back Squat,"[{""success"":true,""load"":165},{""success"":true,""load"":165},{""success"":true,""load"":165},{""success"":true,""load"":185},{""success"":true,""load"":185}]",,RX,
06/26/2023,Movement Prep,3 Sets:6 Double Dumbbell Deadlift + 6 Double Dumbbell Hang Power Snatch + 6 Double Dumbbell Overhead Lunges (3 each leg)5 Strict High Hang Muscle Snatch + 5 SLOW Overhead Squat (use empty barbell)*These DB Complexes are meant to be unbroken. Start lighter to get a good rhythm and then build to a challenging weight by the 3rd set.,1,Yes,Checkbox,,"[{""boolean"":1}]",,RX,
06/26/2023,Epcot (45-54),"3 Sets:AMRAP 3 Minutes:4 ring complexes (1 toe-to-ring, 1 muscle-up, 1 ring dip)20 Pistols (5 pistols on one leg at a time)Max Burpees over box (30”/24”) in remainder of 3 minutes-rest 1 minute b/t sets-",59,59,Reps,,"[{""reps"":22},{""reps"":19},{""reps"":18}]",,RX,
06/27/2023,Strict Press 5x5,5 Strict Press + 10 Double Dumbbell Push Press @ 6/10 RPE5 Strict Press + 8 Double Dumbbell Push Press @ 6.5/10 RPE5 Strict Press + 6 Double Dumbbell Push Press @ 7/10 RPE5 Strict Press + 4 Double Dumbbell Push Press @ 7/10 RPE5 Strict Press + 2 Double Dumbbell Push Press @ 7/10 RPE*Move up in weight each set for the Dumbbell ending with a heavy set of 2.**Score barbell weight and commend dumbbell weight.,125,125,Load,Shoulder Press,"[{""success"":true,""load"":75},{""success"":true,""load"":85},{""success"":true,""load"":95},{""success"":true,""load"":115},{""success"":true,""load"":125}]","25,30,35,40,45 lbs DBx2",RX,
06/27/2023,Magic Kingdom (45-54),"3,000-m Echo Bike 84ft Hand-over-hand pull (180/135) 2,000-m Run84ft Hand-over-hand pull (180/135)1,000-m SkiErg 92ft Hand-over-hand pull (180/135)*Rx’d - gym rubber**Rx’d Subs for Hand over hand pull = 12 Devils Press 2x50/35 OR 6 Rope Climbs***Sled weight only denotes weight added to sled.",1698,28:18:00,,,"[{""secs"":18,""mins"":28}]",,SCALED,
06/28/2023,Technique Work: Clean & Jerk 6x2,"Technique Work: 2 Clean and Jerk @ 6/10 RPE2 Clean and Jerk @ 6.5/10 RPE2 Clean and Jerk @ 7/10 RPE2 Clean and Jerk @ 6/10 RPE2 Clean and Jerk @ 6.5/10 RPE2 Clean and Jerk @ 7/10 RPE**Any time you see “technique work”, know that the focus is speed and perfection, NOT loading. This is your time to work on dialing in those consistent issues with your technique.",95,95,Load,Clean & Jerk,"[{""success"":true,""load"":75},{""success"":true,""load"":85},{""success"":true,""load"":95},{""success"":true,""load"":75},{""success"":true,""load"":85},{""success"":true,""load"":95}]",,RX,
06/28/2023,Tempo Front Squat + Front Squat 5x4,"1 Tempo Front Squat + 3 Front Squat @ 6/10 RPE  1 Tempo Front Squat + 3 Front Squat @ 6.5/10 RPE  1 Tempo Front Squat + 3 Front Squat @ 7/10 RPE  1 Tempo Front Squat + 3 Front Squat @ 7/10 RPE  1 Tempo Front Squat + 3 Front Squat @ 7/10 RPE  *Tempo is 3 sec down, 3 sec hold",115,115,Load,Tempo Front Squat + Front Squat,"[{""success"":true,""load"":75},{""success"":true,""load"":95},{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":115}]",,RX,
06/28/2023,Animal Kingdom (45-54),10-9-8-7-6-5-4-3-2-1Deadlifts (245/165)Dumbbell bench presses (2x60/40)Squat cleans (115/80),1020,17:00,,,"[{""secs"":0,""mins"":17}]",TC,SCALED,
06/28/2023,Successory,"3 Sets:50ft PVC Pipe Hanging Banded Kettlebell Overhead Walk (Perform 1 OHS every 10 ft)50ft 90 Degree Single Arm Kettlebell Upside Down Carry (each arm) (Perform 1 Press every 10 FT 5 Crossover Symmetry: I,T,Y’s (5 reps each position)",1,Yes,Checkbox,,"[{""boolean"":1}]",,RX,
